timestamp_sec,agent_step,agent_time,vel_x,vel_y,vel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,torque_cmd_0,torque_cmd_1,torque_cmd_2,torque_cmd_3,torque_cmd_4,torque_cmd_5,torque_cmd_6,torque_cmd_7
1775543857.75377,5159,51.593956287000005,0.0,0.0,0.0,0.0006981317007977319,0.03961897402027128,0.0005235987755982988,-0.988,0.0144,0.02,-0.1525,-0.023387411976724014,-0.05160938598147232,0.038837939180004,0.022519983338484373,0.013500121764176143,0.2695050164467042,0.0,0.0,-0.0017453292519943296,0.0,0.0006108652381980154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.010997389414381106,-0.1,0.1,0.1,0.0,0.0
1775543857.7637086,5160,51.603885636,0.0,0.0,0.0,0.0008726646259971648,0.03961897402027128,-0.0015707963267948964,-0.9886,0.0145,0.0198,-0.1484,-0.023387411976724014,-0.05160938598147232,0.03862849966976434,0.022519983338484373,0.01350884841043612,0.2695050164467042,0.0,0.0,-0.0008726646259971648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.007524251998526918,-0.1,0.1,0.1,0.0,0.0
1775543857.7737443,5161,51.613908268,0.0,0.0,0.0,0.0019198621771937625,0.041713369122664476,0.0005235987755982988,-0.9882,0.0145,0.0196,-0.151,-0.023387411976724014,-0.05160938598147232,0.03862849966976434,0.022519983338484373,0.01350884841043612,0.2695050164467042,0.0,0.0,-0.0008726646259971648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.005442927517802364,-0.1,0.1,0.1,0.0,0.0
1775543857.7836483,5162,51.623917269,0.0,0.0,0.0,-0.0013962634015954637,0.043807764225057666,0.0005235987755982988,-0.9888,0.0146,0.0194,-0.1473,-0.023387411976724014,-0.05160938598147232,0.038401606867005,0.022519983338484373,0.01350884841043612,0.2695050164467042,0.0,0.0,-0.0010471975511965976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0038842385463672027,-0.1,0.1,0.1,0.0,0.0
1775543857.7936997,5163,51.633848057,0.0,0.0,0.0,0.0029670597283903604,0.046949356878647465,-0.0005235987755982988,-0.9882,0.0145,0.0192,-0.1515,-0.023387411976724014,-0.05160938598147232,0.038401606867005,0.022519983338484373,0.01350884841043612,0.2695050164467042,0.0,0.0,-0.0010471975511965976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.004649917887285433,-0.1,0.1,0.1,0.0,0.0
1775543857.803674,5164,51.643814623000004,0.0,0.0,0.0,0.0029670597283903604,0.046949356878647465,-0.0015707963267948964,-0.9876,0.0145,0.0191,-0.1555,-0.023387411976724014,-0.05160938598147232,0.038401606867005,0.022519983338484373,0.01350884841043612,0.2695050164467042,0.0,0.0,-0.0010471975511965976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.009834708054215909,-0.1,0.1,0.1,0.0,0.0
1775543857.8136756,5165,51.65386977,0.0,0.0,0.0,0.0006981317007977319,0.04590215932745086,-0.0005235987755982988,-0.9878,0.0145,0.0188,-0.1542,-0.023387411976724014,-0.05160938598147232,0.03813980747920631,0.022519983338484373,0.01350884841043612,0.2695050164467042,0.0,0.0,-0.0017453292519943296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.008471370165006408,-0.1,0.1,0.1,0.0,0.0
1775543857.823637,5166,51.663781037,0.0,0.0,0.0,0.0006981317007977319,0.046949356878647465,-0.0005235987755982988,-0.987,0.0145,0.0187,-0.1587,-0.023387411976724014,-0.05160938598147232,0.03813980747920631,0.022519983338484373,0.01350884841043612,0.2695050164467042,0.0,0.0,-0.0017453292519943296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.012027404545012135,-0.1,0.1,0.1,0.0,0.0
1775543857.8336277,5167,51.673731282000006,0.0,0.0,0.0,-0.00034906585039886593,0.04485496177625427,-0.002617993877991494,-0.9869,0.0145,0.0184,-0.1599,-0.023387411976724014,-0.05160938598147232,0.03813980747920631,0.022519983338484373,0.01350884841043612,0.2695050164467042,0.0,0.0,-0.0017453292519943296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.021041586478946408,-0.1,0.1,0.1,0.0,0.0
1775543857.8436835,5168,51.683901891000005,0.0,0.0,0.0,-0.00034906585039886593,0.04276056667386108,0.0005235987755982988,-0.9866,0.0145,0.0182,-0.1613,-0.023387411976724014,-0.05160938598147232,0.03806999430912583,0.022519983338484373,0.01350884841043612,0.2695050164467042,0.0,0.0,-0.00034906585039886593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.016176956516398555,-0.1,0.1,0.1,0.0,0.0
