t_sec,q_ref_rad,q_meas_rad,dq_meas_rad_s,tau_cmd_nm
15.579875194000001,-0.464891994082084,-0.48249627171383236,-0.2155481626212997,0.013258755207061768
15.600001113000001,-0.4736882646950473,-0.5453281247856283,-0.19198621771937624,0.03055162914097309
15.620036949000001,-0.481767999864651,-0.5453281247856283,-0.19198621771937624,0.028529711067676544
15.640371194,-0.4892654035440135,-0.5980719747808969,-0.16606807832726045,0.04369351267814636
15.660266418,-0.495905300720973,-0.6404398423730592,-0.1457349925415265,0.055499572306871414
15.680143241000001,-0.5018425710883186,-0.6739763439501303,-0.11492993124382661,0.05321058630943298
15.700126211,-0.5071013811852625,-0.6739763439501303,-0.11492993124382661,0.06231449171900749
15.720574508,-0.5117377646185695,-0.6987425660359299,-0.08011061266653972,0.06851547956466675
15.740690634000002,-0.5155570040729119,-0.714354536195019,-0.03778637830567723,0.06689386069774628
15.759952943000002,-0.518519448466423,-0.714354536195019,-0.03778637830567723,0.07025930285453796
15.780001323,-0.5208767255009062,-0.7196603371210819,-0.0004363323129985824,0.07040714472532272
15.800545463,-0.522520560285915,-0.7185171464610256,0.004886921905584123,0.06908738613128662
15.819895518000001,-0.5233522761208003,-0.7166147375763516,0.012217304763960306,0.06775215268135071
15.840349607,-0.5234744450502994,-0.7166147375763516,0.012217304763960306,0.06742195785045624
15.860607914000001,-0.5228284185471034,-0.7114834695754885,0.024434609527920613,0.06536334753036499
15.880156823000002,-0.5214821780344149,-0.702364124233818,0.038571776469074684,0.062312051653862
15.900313591000002,-0.5193526214191273,-0.6935502115112467,0.027314402793711254,0.05987338349223137
15.920668573,-0.5164412852871769,-0.6935502115112467,0.027314402793711254,0.060477495193481445
15.940005956,-0.5129711918810821,-0.6888029159458221,0.017016960206944712,0.06002369150519371
15.960830807,-0.5084720991661419,-0.6836803745912188,0.026616271092913528,0.059273842722177505
15.980119581,-0.5036057440659165,-0.6745086693719886,0.030106929596902185,0.06084379926323891
16.000329918000002,-0.4977927704731782,-0.6745086693719886,0.030106929596902185,0.05927411466836929
16.020011984,-0.49143728219370075,-0.669752647160304,0.008639379797371931,0.060033272951841354
16.040242994,-0.4841996215120931,-0.6677106119354705,0.009512044423369096,0.061526186764240265
16.060749052000002,-0.47614501568477163,-0.6677106119354705,0.009512044423369096,0.0640576183795929
16.080501231,-0.46771371358577346,-0.6648919051934998,0.009773843811168246,0.06588546931743622
16.09988364,-0.45880987976698356,-0.6620644718052691,0.00471238898038469,0.06793802976608276
16.120535398,-0.4486493003924461,-0.6620382918664891,0.0,0.07112621515989304
16.140852811000002,-0.4379896550270958,-0.6620382918664891,0.0,0.07468613237142563
16.160386584,-0.42713520998063564,-0.6620121119277091,0.0,0.07840783894062042
16.180283408,-0.4154837557453886,-0.6619597520501495,0.0,0.0821881890296936
16.199996034,-0.40336374573129324,-0.6618812122338096,0.0,0.08626612275838852
16.220472267,-0.39018474185698165,-0.6618812122338096,0.0,0.09048109501600266
16.24020883,-0.37693138768505957,-0.6617852191249499,0.0004363323129985824,0.09505187720060349
16.260004275,-0.3631144426170758,-0.6616455927847903,0.0008726646259971648,0.09963700920343399
16.280048304,-0.34860889496028163,-0.661427426628291,0.0012217304763960308,0.1044701635837555
16.300632828,-0.3331943991837483,-0.661427426628291,0.0012217304763960308,0.10946447402238846
16.319918306,-0.3182970343817174,-0.6602580560294549,0.010210176124166827,0.11428853124380112
16.340475405,-0.30195466792597514,-0.6545246494366534,0.02809980095710871,0.11728794872760773
16.360420327,-0.28566533611045175,-0.6479185782178549,0.016144295580947546,0.12289304286241531
16.380744268,-0.26865119791004277,-0.6479185782178549,0.016144295580947546,0.12649761140346527
16.400131828,-0.2520530708925909,-0.6410594342575173,0.03289945640009311,0.12988241016864777
16.420437976000002,-0.23430790681499292,-0.6410594342575173,0.03289945640009311,0.13556000590324402
16.439966085000002,-0.21691847034796316,-0.6257005368399672,0.06082472443200238,0.1358925700187683
16.460066979,-0.19871217520667459,-0.6084479571840031,0.06562437987498679,0.13586875796318054
16.480161345000003,-0.18022657939094333,-0.5911691975892593,0.07059856824317062,0.14222553372383118
16.500850065,-0.16092425481209097,-0.5911691975892593,0.07059856824317062,0.14255911111831665
16.520892749,-0.1419909072363063,-0.5684101041432533,0.09337511498169665,0.14093931019306183
16.540727619000002,-0.12305417017416652,-0.5406942756215833,0.1117010721276371,0.13755960762500763
16.561229901,-0.10329967110535233,-0.5061716630171355,0.12374384396639797,0.1441626399755478
16.580087782,-0.08499259571444014,-0.5061716630171355,0.12374384396639797,0.1387784481048584
16.600009502000002,-0.06553648366018107,-0.47027896694987203,0.14006267247254495,0.13232986629009247
16.620186527,-0.045736853305411725,-0.42539782523483793,0.16170475519727465,0.12382954359054565
16.639996948,-0.026232332061643413,-0.42539782523483793,0.16170475519727465,0.12997062504291534
16.660555648000003,-0.005952660477046826,-0.38003671797550526,0.1778490507782222,0.12063030898571014
16.680471096,0.013701428050563479,-0.33110641239584426,0.18718656227639185,0.11047593504190445
16.70051234,0.033460225059975375,-0.2768353993050806,0.18997908907958277,0.09920144081115723
16.720041409,0.05266847336701315,-0.2768353993050806,0.18997908907958277,0.10518380999565125
16.740020988,0.0722458839922692,-0.2204438111731438,0.2106612407157156,0.09179972112178802
16.760059704,0.0917784145488374,-0.15972380649626108,0.2124938364303096,0.0774155706167221
16.780402461,0.11147335469683516,-0.10331476507180434,0.2075196480621258,0.08420009166002274
