t_sec,wheel_index,omega_ref_rad_s,omega_meas_rad_s,tau_cmd_nm
62.060456102,6.0,1.0471975511965976,1.0388199707870251,0.053211819380521774
62.065110770000004,6.0,1.0471975511965976,1.0388199707870251,0.053211819380521774
62.070004678000004,6.0,1.0471975511965976,1.0388199707870251,0.05321824550628662
62.075026077000004,6.0,1.0471975511965976,1.0388199707870251,0.05322427675127983
62.080408479000006,6.0,1.0471975511965976,1.023635606294674,0.05570244416594505
62.084993866000005,6.0,1.0471975511965976,1.023635606294674,0.05570244416594505
62.090125029000006,6.0,1.0471975511965976,1.023635606294674,0.055840376764535904
62.095540328000006,6.0,1.0471975511965976,1.023635606294674,0.055881958454847336
62.100555999,6.0,1.0471975511965976,1.023635606294674,0.05589960888028145
62.105717851,6.0,1.0471975511965976,1.0300933245270534,0.05589960888028145
62.110051389000006,6.0,1.0471975511965976,1.0300933245270534,0.05486871302127838
62.115528259,6.0,1.0471975511965976,1.0300933245270534,0.054840680211782455
62.120071948,6.0,1.0471975511965976,1.0300933245270534,0.054840680211782455
62.125023009,6.0,1.0471975511965976,1.0300933245270534,0.054853904992341995
62.130409219,6.0,1.0471975511965976,1.0423106292910136,0.05289604142308235
62.135493245000006,6.0,1.0471975511965976,1.0423106292910136,0.052802924066782
62.140028646000005,6.0,1.0471975511965976,1.0423106292910136,0.052802924066782
62.145154144,6.0,1.0471975511965976,1.0423106292910136,0.052801862359046936
62.150569219000005,6.0,1.0471975511965976,1.0423106292910136,0.05280891805887222
62.155202319000004,6.0,1.0471975511965976,1.0388199707870251,0.05280891805887222
62.160519344,6.0,1.0471975511965976,1.0388199707870251,0.053383007645606995
62.164978902,6.0,1.0471975511965976,1.0388199707870251,0.053383007645606995
62.170347896,6.0,1.0471975511965976,1.0388199707870251,0.053424540907144547
62.17572319400001,6.0,1.0471975511965976,1.0388199707870251,0.05343093350529671
62.180683952,6.0,1.0471975511965976,1.0388199707870251,0.053437214344739914
